tissueType	tumorType
Adrenal Gland	Adrenocortical Adenoma (ACA)
Adrenal Gland	Adrenocortical Carcinoma (ACC)
Adrenal Gland	Pheochromocytoma (PHC)
Ampulla of Vater	Ampullary Carcinoma (AMPCA)
Biliary Tract	Cholangiocarcinoma (CHOL)
Biliary Tract	Gallbladder Cancer (GBC)
Bladder/Urinary Tract	Bladder Adenocarcinoma (BLAD)
Bladder/Urinary Tract	Bladder Squamous Cell Carcinoma (BLSC)
Bladder/Urinary Tract	Bladder Urothelial Carcinoma (BLCA)
Bladder/Urinary Tract	Inflammatory Myofibroblastic Bladder Tumor (IMTB)
Bladder/Urinary Tract	Mucosal Melanoma of the Urethra (URMM)
Bladder/Urinary Tract	Plasmacytoid/Signet Ring Cell Bladder Carcinoma (SRCBC)
Bladder/Urinary Tract	Sarcomatoid Carcinoma of the Urinary Bladder (SCB)
Bladder/Urinary Tract	Small Cell Bladder Cancer (SCBC)
Bladder/Urinary Tract	Upper Tract Urothelial Carcinoma (UTUC)
Bladder/Urinary Tract	Urachal Carcinoma (URCA)
Bladder/Urinary Tract	Urethral Cancer (UCA)
Blood	Blastic Plasmacytoid Dendritic Cell Neoplasm (BPDCN)
Blood	Histiocytosis (HIST)
Blood	Leukemia (LEUK)
Blood	Multiple Myeloma (MM)
Blood	Myelodysplasia (MDS)
Blood	Myeloproliferative Neoplasm (MPN)
Blood	Systemic Mastocytosis (SM)
Bone	Chondroblastoma (CHBL)
Bone	Chondrosarcoma (CHS)
Bone	Chordoma (CHDM)
Bone	Ewing Sarcoma (ES)
Bone	Giant Cell Tumor of Bone (GCTB)
Bone	Osteosarcoma (OS)
Bowel	Anal Gland Adenocarcinoma (AGA)
Bowel	Anal Squamous Cell Carcinoma (ANSC)
Bowel	Anorectal Mucosal Melanoma (ARMM)
Bowel	Appendiceal Adenocarcinoma (APAD)
Bowel	Colorectal Adenocarcinoma (COADREAD)
Bowel	Gastrointestinal Neuroendocrine Tumors (GINET)
Bowel	Medullary Carcinoma of the Colon (CMC)
Bowel	Small Bowel Cancer (SBC)
Bowel	Small Intestinal Carcinoma (SIC)
Breast	Adenomyoepithelioma of the Breast (BRAME)
Breast	Breast Ductal Carcinoma In Situ (DCIS)
Breast	Breast Fibroepithelial Neoplasms (BFN)
Breast	Breast Lobular Carcinoma In Situ (LCIS)
Breast	Breast Neoplasm, NOS (BNNOS)
Breast	Breast Sarcoma (PBS)
Breast	Inflammatory Breast Cancer (IBC)
Breast	Invasive Breast Carcinoma (BRCA)
Breast	Metaplastic Breast Cancer (MBC)
CNS/Brain	Choroid Plexus Tumor (CPT)
CNS/Brain	Diffuse Glioma (DIFG)
CNS/Brain	Embryonal Tumor (EMBT)
CNS/Brain	Encapsulated Glioma (ENCG)
CNS/Brain	Ependymomal Tumor (EPMT)
CNS/Brain	Germ Cell Tumor, Brain (BGCT)
CNS/Brain	Meningothelial Tumor (MNGT)
CNS/Brain	Miscellaneous Brain Tumor (MBT)
CNS/Brain	Miscellaneous Neuroepithelial Tumor (MNET)
CNS/Brain	Pineal Tumor (PINT)
CNS/Brain	Primary CNS Melanoma (PCNSM)
CNS/Brain	Sellar Tumor (SELT)
Cervix	Cervical Adenocarcinoma (CEAD)
Cervix	Cervical Adenocarcinoma In Situ (CEAIS)
Cervix	Cervical Adenoid Basal Carcinoma (CABC)
Cervix	Cervical Adenoid Cystic Carcinoma (CACC)
Cervix	Cervical Adenosquamous Carcinoma (CEAS)
Cervix	Cervical Leiomyosarcoma (CELI)
Cervix	Cervical Neuroendocrine Tumor (CENE)
Cervix	Cervical Rhabdomyosarcoma (CERMS)
Cervix	Cervical Squamous Cell Carcinoma (CESC)
Cervix	Glassy Cell Carcinoma of the Cervix (CEGCC)
Cervix	Mixed Cervical Carcinoma (MCCE)
Cervix	Small Cell Carcinoma of the Cervix (SCCE)
Cervix	Villoglandular Adenocarcinoma of the Cervix (VGCE)
Esophagus/Stomach	Esophageal Poorly Differentiated Carcinoma (EPDCA)
Esophagus/Stomach	Esophageal Squamous Cell Carcinoma (ESCC)
Esophagus/Stomach	Esophagogastric Adenocarcinoma (EGC)
Esophagus/Stomach	Mucosal Melanoma of the Esophagus (ESMM)
Esophagus/Stomach	Smooth Muscle Neoplasm, NOS (SMN)
Eye	Ocular Melanoma (OM)
Eye	Retinoblastoma (RBL)
Head and Neck	Head and Neck Carcinoma, Other (OHNCA)
Head and Neck	Head and Neck Mucosal Melanoma (HNMUCM)
Head and Neck	Head and Neck Squamous Cell Carcinoma (HNSC)
Head and Neck	Nasopharyngeal Carcinoma (NPC)
Head and Neck	Salivary Carcinoma (SACA)
Kidney	Renal Cell Carcinoma (RCC)
Kidney	Wilms' Tumor (WT)
Liver	Fibrolamellar Carcinoma (FLC)
Liver	Hepatoblastoma (LIHB)
Liver	Hepatocellular Adenoma (LIAD)
Liver	Hepatocellular Carcinoma (HCC)
Liver	Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma (HCCIHCH)
Liver	Liver Angiosarcoma (LIAS)
Liver	Malignant Nonepithelial Tumor of the Liver (LIMNET)
Lung	Combined Small Cell Lung Carcinoma (CSCLC)
Lung	Inflammatory Myofibroblastic Lung Tumor (IMTL)
Lung	Lung Adenocarcinoma In Situ (LAIS)
Lung	Lung Neuroendocrine Tumor (LNET)
Lung	Non-Small Cell Lung Cancer (NSCLC)
Lung	Pleuropulmonary Blastoma (PPB)
Lung	Pulmonary Lymphangiomyomatosis (LAM)
Lung	Sarcomatoid Carcinoma of the Lung (SARCL)
Lymph	Hodgkin Lymphoma (HL)
Lymph	Non-Hodgkin Lymphoma (NHL)
Lymph	Rosai-Dorfman Disease (RD)
Other	Adenocarcinoma In Situ (AIS)
Other	Cancer of Unknown Primary (CUP)
Ovary/Fallopian Tube	Ovarian Cancer, Other (OOVC)
Ovary/Fallopian Tube	Ovarian Epithelial Tumor (OVT)
Ovary/Fallopian Tube	Ovarian Germ Cell Tumor (OGCT)
Ovary/Fallopian Tube	Sex Cord Stromal Tumor (SCST)
Pancreas	Acinar Cell Carcinoma of the Pancreas (PAAC)
Pancreas	Adenosquamous Carcinoma of the Pancreas (PAASC)
Pancreas	Cystic Tumor of the Pancreas (PACT)
Pancreas	Pancreatic Adenocarcinoma (PAAD)
Pancreas	Pancreatic Neuroendocrine Tumor (PANET)
Pancreas	Pancreatoblastoma (PB)
Pancreas	Solid Pseudopapillary Neoplasm of the Pancreas (SPN)
Pancreas	Undifferentiated Carcinoma of the Pancreas (UCP)
Penis	Penile Squamous Cell Carcinoma (PSCC)
Peripheral Nervous System	Nerve Sheath Tumor (NST)
Peritoneum	Peritoneal Mesothelioma (PEMESO)
Pleura	Pleural Mesothelioma (PLMESO)
Prostate	Prostate Adenocarcinoma (PRAD)
Prostate	Prostate Neuroendocrine Carcinoma (PRNE)
Prostate	Prostate Small Cell Carcinoma (PRSCC)
Prostate	Prostate Sqamous Cell Carcinoma (PRSC)
Skin	Aggressive Digital Papillary Adenocarcinoma (ADPA)
Skin	Atypical Fibroxanthoma (AFX)
Skin	Basal Cell Carcinoma (BCC)
Skin	Cutaneous Squamous Cell Carcinoma (CSCC)
Skin	Dermatofibroma (DF)
Skin	Dermatofibrosarcoma Protuberans (DFSP)
Skin	Desmoplastic Trichoepithelioma (DTE)
Skin	Endocrine Mucin Producing Sweat Gland Carcinoma (EMPSGC)
Skin	Extramammary Paget Disease (EMPD)
Skin	Melanoma (MEL)
Skin	Merkel Cell Carcinoma (MCC)
Skin	Microcystic Adnexal Carcinoma (MAC)
Skin	Porocarcinoma/Spiroadenocarcinoma (POCA)
Skin	Poroma/Acrospiroma (PORO)
Skin	Porphyria Cutania Tarda (PCT)
